,confidence_threshold,remaining_cores,patch_auroc,patch_macro_acc,patch_avg_prec,patch_brier_score,patch_expected_calibration_error,core_auroc,core_macro_acc,core_avg_prec,core_brier_score,core_expected_calibration_error
0,0.0,1.0,0.66576087474823,0.654891312122345,0.6629818081855774,0.24554314719650222,0.14546969532966614,0.66576087474823,0.654891312122345,0.6629818081855774,0.24554314719650222,0.14546969532966614
1,10.0,8.0,0.7392073273658752,0.681109607219696,0.6818478107452393,0.23277410556057,0.055262356996536255,0.8370629549026489,0.7274475693702698,0.7439067959785461,0.19889522972573503,0.08839051425457001
2,20.0,18.0,0.7229679822921753,0.660854160785675,0.6695592403411865,0.23224646104289512,0.04957883432507515,0.8272947072982788,0.7490942478179932,0.7083102464675903,0.2058829501754678,0.06637110561132431
3,30.0,26.0,0.7162227630615234,0.6568273305892944,0.6634769439697266,0.2322104039923288,0.05061740055680275,0.8099294900894165,0.7485311031341553,0.6935496926307678,0.2125712934313953,0.10374578833580017
4,40.0,34.0,0.711814284324646,0.6560349464416504,0.6600849628448486,0.23266239262287106,0.05064324289560318,0.8113983273506165,0.7579318284988403,0.6917845010757446,0.2122513231107091,0.0940895527601242
5,50.0,38.0,0.7155123353004456,0.6604882478713989,0.6633720993995667,0.23086505270608293,0.04717488959431648,0.8146297931671143,0.7511751055717468,0.6861798167228699,0.21158455655588135,0.09173419326543808
6,60.0,46.0,0.7170192003250122,0.6617652177810669,0.665608286857605,0.23031151471076283,0.046713076531887054,0.8150724768638611,0.7582608461380005,0.6742192506790161,0.21232021607583815,0.08663178980350494
7,70.0,47.0,0.7167180776596069,0.6622885465621948,0.6660164594650269,0.22988059502473648,0.046685293316841125,0.8110145330429077,0.7473913431167603,0.6359288692474365,0.21402356537453032,0.08754350990056992
8,80.0,50.0,0.7157557010650635,0.6609098315238953,0.6656296253204346,0.2306986548503497,0.049476172775030136,0.8072463274002075,0.7540580034255981,0.6431277990341187,0.21512071816148326,0.10377338528633118
9,90.0,51.0,0.7163753509521484,0.6611210107803345,0.6672418713569641,0.2301456091827372,0.049393750727176666,0.8072463274002075,0.760724663734436,0.6499345302581787,0.21523731406075344,0.10354181379079819
10,100.0,52.0,0.7150340676307678,0.6599442958831787,0.667280912399292,0.23037985032353778,0.050471413880586624,0.8057971000671387,0.760724663734436,0.6547282338142395,0.21604316703242837,0.11063706129789352
