,confidence_threshold,num_neighbours,remaining_cores,patch_auroc,patch_macro_acc,patch_avg_prec,patch_brier_score,patch_expected_calibration_error,core_auroc,core_macro_acc,core_avg_prec,core_brier_score,core_expected_calibration_error
0,0.0,5.0,1.0,0.644444465637207,0.5791666507720947,0.5823988318443298,0.25499103671636036,0.08004333078861237,0.636904776096344,0.574404776096344,0.5988788604736328,0.25663827475235945,0.07064081728458405
1,0.1,5.0,5.0,0.638731837272644,0.563463032245636,0.5645159482955933,0.2585015807145368,0.10001210868358612,0.7149859666824341,0.575630247592926,0.5759567618370056,0.2505566749055349,0.074480339884758
2,0.2,5.0,15.0,0.6477274894714355,0.5923318862915039,0.5662277340888977,0.24779969450966952,0.04806319996714592,0.6862200498580933,0.605171799659729,0.6765885949134827,0.24322935171206048,0.044822461903095245
3,0.3,5.0,24.0,0.6587036848068237,0.6065448522567749,0.5764540433883667,0.23742345994816902,0.027158373966813087,0.7062278985977173,0.6656874418258667,0.6828861832618713,0.23668213792105433,0.10596197098493576
4,0.4,5.0,29.0,0.6671760082244873,0.6157373189926147,0.5886228084564209,0.23228161656683213,0.029401274397969246,0.7536232471466064,0.7246376872062683,0.679045557975769,0.22951297139278193,0.1580105423927307
5,0.5,5.0,34.0,0.6635737419128418,0.6125103235244751,0.5931758880615234,0.23083917911268884,0.028867054730653763,0.7539130449295044,0.7095652222633362,0.6664351224899292,0.22678119178941933,0.1479465663433075
6,0.6,5.0,38.0,0.6643794178962708,0.6134428381919861,0.598987340927124,0.22984684443018066,0.028352340683341026,0.7550724744796753,0.7186956405639648,0.676344633102417,0.2245101354454909,0.16234391927719116
7,0.7,5.0,45.0,0.6609942317008972,0.6100834608078003,0.5953340530395508,0.2292632703249389,0.02618604153394699,0.742029070854187,0.7144927978515625,0.6455618143081665,0.22440481650325306,0.1604461371898651
8,0.8,5.0,48.0,0.661236047744751,0.610749363899231,0.5953994989395142,0.22880411322486913,0.025464747101068497,0.7405797243118286,0.7078261375427246,0.6423920392990112,0.2239303708946398,0.1510273665189743
9,0.9,5.0,50.0,0.665494441986084,0.614484429359436,0.6000505089759827,0.22734111376528482,0.026114361360669136,0.7431883811950684,0.7078261375427246,0.6391674280166626,0.22299996533293148,0.1495475172996521
10,1.0,5.0,52.0,0.667640745639801,0.6157156825065613,0.6029646992683411,0.22653108945233835,0.026603497564792633,0.7437680959701538,0.6969565153121948,0.6437791585922241,0.22262297468537245,0.14036914706230164
11,0.0,10.0,1.0,0.616847813129425,0.5801630616188049,0.6386572122573853,0.24855716605255224,0.1291862279176712,0.6121212244033813,0.5818182229995728,0.6706370115280151,0.24940586080564583,0.06127862632274628
12,0.1,10.0,2.0,0.6251003742218018,0.5957329273223877,0.6378445625305176,0.24392384980499857,0.029718264937400818,0.688712477684021,0.5727512836456299,0.6972348690032959,0.23143192885399844,0.12483890354633331
